id;area;title;risk;effort;description;business_risk;check;sources;pingcastle;certipy;remediation;impact;mitre
KRB-01;AD – Kerberos i delegacje;Brak delegacji nieograniczonej poza kontrolerami domeny;Krytyczne;Średni;Tylko DC mają TRUSTED_FOR_DELEGATION.;Serwer z delegacją nieograniczoną przechowuje bilety TGT łączących się użytkowników – w połączeniu z wymuszeniem uwierzytelnienia DC daje przejęcie domeny.;"PingCastle: Unconstrained delegation. BloodHound: Unconstrained Delegation Systems.
Get-ADComputer -Filter {TrustedForDelegation -eq $true -and PrimaryGroupID -ne 516}";PingCastle, BloodHound, PowerShell;P-UnconstrainedDelegation;;"1. Ustal, która aplikacja wymaga delegacji.
2. Zamień na delegację ograniczoną (Kerberos only) lub RBCD do konkretnych usług.
3. Set-ADComputer <host> -TrustedForDelegation $false
4. Konta uprzywilejowane oznacz jako sensitive / Protected Users.";Testy z właścicielem aplikacji (np. IIS double-hop).;T1558
KRB-02;AD – Kerberos i delegacje;Przegląd delegacji ograniczonej i RBCD;Wysokie;Średni;Delegacje (msDS-AllowedToDelegateTo, msDS-AllowedToActOnBehalfOfOtherIdentity) wskazują tylko potrzebne usługi, nigdy usługi na DC/T0.;Delegacja do usług na DC (np. LDAP, CIFS) pozwala przejąć DC.;BloodHound: AllowedToDelegate, AllowedToAct. Get-ADObject -Filter {msDS-AllowedToDelegateTo -like '*'} -Properties msDS-AllowedToDelegateTo;BloodHound, PowerShell;;;"Usuń delegacje do usług T0; delegacje „protocol transition” (TrustedToAuthForDelegation) ogranicz do niezbędnych; ogranicz, kto może zapisywać msDS-AllowedToActOnBehalfOfOtherIdentity.";;T1134.001
KRB-03;AD – Kerberos i delegacje;Konta z SPN mają silne hasła lub są gMSA;Wysokie;Średni;Wszystkie konta użytkowników z SPN mają hasło ≥ 25 znaków, rotowane, obsługują AES.;Słabe hasło konta usługowego można złamać offline po Kerberoastingu.;BloodHound: Kerberoastable users. Get-ADUser -Filter {ServicePrincipalName -like '*'} -Properties PasswordLastSet,msDS-SupportedEncryptionTypes;BloodHound, PowerShell;;;"Migracja na gMSA; w przeciwnym razie reset na długie losowe hasło, msDS-SupportedEncryptionTypes = 0x18 (AES), usunięcie nieużywanych SPN.";;T1558.003
KRB-04;AD – Kerberos i delegacje;Brak kont bez preautentykacji Kerberos (AS-REP roasting);Wysokie;Niski;Żadne konto nie ma flagi DONT_REQ_PREAUTH.;Dla takich kont można pobrać materiał do łamania hasła bez żadnego uwierzytelnienia.;PingCastle: Accounts without pre-authentication. Get-ADUser -Filter {DoesNotRequirePreAuth -eq $true};PingCastle, BloodHound, PowerShell;S-NoPreAuth,S-NoPreAuthAdmin;;"Set-ADAccountControl -Identity <konto> -DoesNotRequirePreAuth $false; zmień hasło konta.";;T1558.004
KRB-05;AD – Kerberos i delegacje;Wyłączone RC4 i DES w Kerberos;Średnie;Wysoki;Dozwolone tylko AES128/AES256.;RC4 ułatwia łamanie haseł (Kerberoasting) i ataki typu overpass-the-hash.;PingCastle: DES enabled. Zdarzenia 4769/4768 z TicketEncryptionType 0x17 (RC4) / 0x1,0x3 (DES) w SIEM.;PingCastle, SIEM;S-DesEnabled;;"1. Audyt: znajdź konta i usługi korzystające z RC4 (4769 z 0x17).
2. Konta z hasłami sprzed poziomu 2008 – reset hasła (by miały klucze AES).
3. GPO: Network security: Configure encryption types allowed for Kerberos = AES128, AES256, Future.
4. Ustaw msDS-SupportedEncryptionTypes na kontach usługowych.
Microsoft stopniowo wycofuje RC4 – sprawdź aktualny harmonogram.";Stare aplikacje/urządzenia (NAS, Java, Linux keytaby) mogą przestać działać – najpierw audyt.;T1558
KRB-06;AD – Kerberos i delegacje;ms-DS-MachineAccountQuota = 0;Średnie;Niski;Zwykli użytkownicy nie mogą dodawać komputerów do domeny.;Domyślnie każdy użytkownik może dodać 10 kont komputerów – wykorzystywane w atakach RBCD, noPac, relay.;Get-ADObject (Get-ADDomain).DistinguishedName -Properties ms-DS-MachineAccountQuota;PowerShell, BloodHound;;;"Set-ADDomain -Identity <domena> -Replace @{""ms-DS-MachineAccountQuota""=""0""}
Uprawnienie do dołączania komputerów deleguj grupie serwisowej na konkretne OU.";Sprawdź, czy proces dołączania stacji (np. SCCM/Autopilot/ręcznie przez helpdesk) nie korzysta z quota.;T1136.002
PWD-01;AD – Hasła i konta;Polityka haseł: długość ≥ 14 (FGPP dla adminów i serwisów);Wysokie;Średni;"Domyślna polityka i FGPP wymuszają długie hasła; konta uprzywilejowane i serwisowe mają silniejsze wymagania.";Krótkie hasła łatwo złamać przez password spraying i ataki offline.;"PingCastle: Password policy – minimum length. Get-ADDefaultDomainPasswordPolicy; Get-ADFineGrainedPasswordPolicy -Filter *";PingCastle, PowerShell;A-MinPwdLen;;"1. Default Domain Policy: min 14 (lub FGPP dla wszystkich użytkowników jeśli nie można zmienić domyślnej).
2. FGPP dla adminów: ≥ 16–20; dla kont serwisowych: ≥ 25.
3. Rozważ listę zakazanych haseł (np. Entra Password Protection on-prem).";Zmiana wymusi nowe hasła przy następnej zmianie – komunikacja do użytkowników.;T1110
PWD-02;AD – Hasła i konta;Brak haseł w Group Policy Preferences (cpassword);Krytyczne;Niski;SYSVOL nie zawiera plików GPP z atrybutem cpassword.;Hasła z GPP są odszyfrowywalne publicznym kluczem – każdy użytkownik domeny może je odczytać.;PingCastle: Password in GPO. findstr /S /I cpassword \\<domena>\SYSVOL\<domena>\Policies\*.xml;PingCastle, PowerShell;A-PwdGPO;;"1. Usuń preferencje zawierające hasła.
2. Zmień hasła wszystkich kont, których hasła były w GPP.
3. Lokalne hasła administratora zarządzaj przez Windows LAPS (PWD-05).";;T1552.006
PWD-03;AD – Hasła i konta;Brak kont z hasłem zapisywanym odwracalnie;Wysokie;Niski;Flaga „Store password using reversible encryption” nie jest ustawiona.;Hasło takiego konta można odczytać w postaci jawnej z bazy AD.;PingCastle: Reversible password. Get-ADUser -Filter {AllowReversiblePasswordEncryption -eq $true};PingCastle, PowerShell;S-Reversible;;"Set-ADUser <konto> -AllowReversiblePasswordEncryption $false i wymuś zmianę hasła; sprawdź polityki FGPP.";;T1003.006
PWD-04;AD – Hasła i konta;Brak kont z PasswordNotRequired;Średnie;Niski;Żadne włączone konto nie ma flagi PASSWD_NOTREQD.;Konto może mieć puste hasło.;PingCastle: Password not required. Get-ADUser -Filter {PasswordNotRequired -eq $true -and Enabled -eq $true};PingCastle, PowerShell;S-PwdNotRequired;;"Set-ADUser <konto> -PasswordNotRequired $false; ustaw hasło.";;T1078
PWD-05;AD – Hasła i konta;Windows LAPS na wszystkich stacjach i serwerach;Krytyczne;Średni;Unikalne, rotowane hasła lokalnych administratorów, z ograniczonym dostępem do odczytu.;Wspólne hasło lokalnego admina pozwala na ruch boczny z jednej przejętej stacji na wszystkie.;PingCastle: LAPS not installed. Pokrycie: Get-ADComputer -Filter * -Properties msLAPS-PasswordExpirationTime. Uprawnienia odczytu: Find-LapsADExtendedRights -Identity <OU>. BloodHound: ReadLAPSPassword.;PingCastle, BloodHound, PowerShell;A-LAPS-Not-Installed;;"1. Update-LapsADSchema; Set-LapsADComputerSelfPermission -Identity <OU>.
2. GPO: Computer Configuration > Administrative Templates > System > LAPS: Configure password backup directory = Active Directory; Password Settings (długość ≥ 20); Enable password encryption (DFL 2016+).
3. Ogranicz prawo odczytu haseł do grup helpdesk/T1 na właściwe OU.
4. Wycofaj legacy LAPS po migracji.";;T1021.002
PWD-06;AD – Hasła i konta;Nieaktywne konta użytkowników i komputerów wyłączone;Średnie;Średni;Konta nieużywane > 90 dni są wyłączane, a po okresie karencji usuwane.;Nieużywane konta to niezauważalny punkt wejścia (np. konta byłych pracowników).;PingCastle: Inactive accounts. Search-ADAccount -AccountInactive -TimeSpan 90.00:00:00 -UsersOnly;PingCastle, PowerShell;S-Inactive,S-C-Inactive;;"Proces JML z HR; automatyczne wyłączanie (skrypt/IAM); przeniesienie do OU Disabled; usuwanie po 30–90 dniach.";;T1078
PWD-07;AD – Hasła i konta;Brak słabych i współdzielonych haseł (audyt hashy);Wysokie;Średni;Okresowy audyt jakości haseł: hasła z list wycieków, identyczne hasła na wielu kontach, puste hasła.;Password spraying i credential stuffing to najczęstszy sposób wejścia do AD.;DSInternals: Get-ADReplAccount -All … | Test-PasswordQuality -WeakPasswordHashesSortedFile <lista>. Uwaga: operacja na hashach – tylko z zatwierdzeniem i na systemie T0.;Ręcznie (DSInternals);;;"Wymuś zmianę haseł kont ze słabymi hasłami; wdroż listę zakazanych haseł; konta z identycznymi hasłami (szczególnie admin/serwis) – natychmiast zmień.";Operacja wymaga uprawnień replikacji – wykonuj zgodnie z procedurą T0.;T1110
PWD-08;AD – Hasła i konta;Brak haseł w atrybutach (description, info);Średnie;Niski;Pola opisowe obiektów nie zawierają haseł.;Każdy użytkownik domeny może odczytać opisy kont.;Get-ADUser -Filter * -Properties Description | ? Description -match 'pass|hasł|pwd';PowerShell, BloodHound;;;Usuń hasła z atrybutów i zmień hasła kont, których dotyczyły.;;T1552
AUTH-01;AD – Protokoły i uwierzytelnianie;NTLMv1 i LM wyłączone;Krytyczne;Średni;"LmCompatibilityLevel = 5 na DC i wszystkich hostach; hash LM nie jest przechowywany.";NTLMv1/LM można złamać w kilka minut – przechwycenie uwierzytelnienia DC przez NTLMv1 to przejęcie domeny.;PingCastle: Old NTLM / LM hash authorized. Zdarzenia 4624 z LmPackageName = NTLM V1.;PingCastle, SIEM;S-OldNtlm,A-LMHashAuthorized;;"1. Audyt: znajdź 4624 z „NTLM V1” (kto jeszcze używa).
2. GPO (DC + wszystkie): Network security: LAN Manager authentication level = Send NTLMv2 response only. Refuse LM & NTLM.
3. GPO: Network security: Do not store LAN Manager hash value on next password change = Enabled.";Stare urządzenia (drukarki, skanery, NAS) mogą przestać się uwierzytelniać.;T1557.001
AUTH-02;AD – Protokoły i uwierzytelnianie;Ograniczanie NTLM (audyt i plan wycofania);Średnie;Wysoki;Włączony audyt NTLM na DC, znane źródła NTLM, ograniczenia dla kont uprzywilejowanych.;NTLM umożliwia relay i pass-the-hash.;"GPO: Network security: Restrict NTLM: Audit NTLM authentication in this domain = Enable all; dziennik Microsoft-Windows-NTLM/Operational (8004).";SIEM, PowerShell;;;"1. Włącz audyt NTLM na DC i serwerach.
2. Zbieraj 8004 w SIEM, identyfikuj aplikacje.
3. Konta T0 w Protected Users (brak NTLM).
4. Stopniowo: Restrict NTLM: Outgoing/Incoming z wyjątkami.";;T1557
AUTH-03;AD – Protokoły i uwierzytelnianie;Wymuszone podpisywanie LDAP na DC;Wysokie;Średni;DC odrzucają niepodpisane powiązania LDAP (simple bind bez TLS, SASL bez podpisu).;Bez podpisu możliwy jest NTLM relay do LDAP – np. nadanie uprawnień lub RBCD i przejęcie serwerów.;"PingCastle: LDAP signing not required. Na DC: zdarzenia 2886/2887/2889 (Directory Service) – włącz rejestrowanie: HKLM\SYSTEM\CurrentControlSet\Services\NTDS\Diagnostics ""16 LDAP Interface Events""=2.";PingCastle, SIEM;A-DCLdapSign;;"1. Audyt klientów wysyłających niepodpisane żądania (2889).
2. GPO dla DC: Domain controller: LDAP server signing requirements = Require signing (w nowszych: Enforce).
3. GPO dla klientów: Network security: LDAP client signing requirements = Negotiate signing.";Aplikacje używające simple bind bez TLS przestaną działać – przejdź na LDAPS.;T1557
AUTH-04;AD – Protokoły i uwierzytelnianie;Wymuszone LDAP channel binding (LDAPS);Wysokie;Średni;LDAPS wymaga powiązania kanału (EPA).;Chroni przed relay na LDAPS.;PingCastle: LDAPS channel binding. Zdarzenie 3039 (klienci nieobsługujący CBT) po włączeniu diagnostyki.;PingCastle, SIEM;A-DCLdapsChannelBinding;;GPO dla DC: Domain controller: LDAP server channel binding token requirements = When supported → po audycie Always.;;T1557
AUTH-05;AD – Protokoły i uwierzytelnianie;Wymuszone podpisywanie SMB (DC, serwery, stacje);Wysokie;Średni;„Digitally sign communications (always)” włączone po stronie serwera i klienta.;Bez podpisu SMB możliwy jest NTLM relay do SMB – wykonanie kodu na serwerach.;PingCastle: SMB signing not required. Skan: nxc smb <zakres> --gen-relay-list (lista hostów bez podpisu).;PingCastle, skaner;A-SMB2SignatureNotRequired,A-SMB2SignatureNotEnabled;;"GPO: Microsoft network server: Digitally sign communications (always) = Enabled; Microsoft network client: Digitally sign communications (always) = Enabled. (Nowe Windows 11 24H2 / Server 2025 mają to domyślnie.)";"Niewielki narzut wydajności na serwerach plików; stare urządzenia NAS mogą wymagać aktualizacji.";T1557.001
AUTH-06;AD – Protokoły i uwierzytelnianie;SMBv1 wyłączony;Wysokie;Niski;Protokół SMBv1 usunięty z DC, serwerów i stacji.;SMBv1 to podatny protokół (EternalBlue/WannaCry).;PingCastle: SMB v1 activated. Get-SmbServerConfiguration | Select EnableSMB1Protocol;PingCastle, PowerShell;S-SMB-v1;;"Disable-WindowsOptionalFeature -Online -FeatureName SMB1Protocol; Set-SmbServerConfiguration -EnableSMB1Protocol $false. Najpierw audyt: Set-SmbServerConfiguration -AuditSmb1Access $true (zdarzenie 3000).";Stare urządzenia skanujące do folderu mogą wymagać SMBv2+.;T1210
AUTH-07;AD – Protokoły i uwierzytelnianie;LLMNR, NBT-NS i mDNS wyłączone;Wysokie;Niski;Hosty nie używają rozgłoszeniowych protokołów rozwiązywania nazw.;Pozwalają atakującemu w sieci lokalnej przechwytywać hashe NTLM (Responder).;PingCastle: LLMNR not disabled. Skan: Responder w trybie analizy.;PingCastle, skaner;A-NoGPOLLMNR;;"LLMNR: GPO Computer > Administrative Templates > Network > DNS Client > Turn off multicast name resolution = Enabled.
NBT-NS: opcja DHCP „Disable NetBIOS over TCP/IP” lub NetbiosOptions=2 (HKLM\SYSTEM\CurrentControlSet\Services\NetBT\Parameters\Interfaces\Tcpip_*).
mDNS: HKLM\SYSTEM\CurrentControlSet\Services\Dnscache\Parameters EnableMDNS=0.";;T1557.001
AUTH-08;AD – Protokoły i uwierzytelnianie;Ochrona przed WPAD i atakami IPv6 (mitm6);Średnie;Średni;"WPAD nie jest rozwiązywany przez rozgłoszenia/DNS; hosty nie przyjmują obcych serwerów DHCPv6/RA.";Atakujący w sieci może stać się bramą/proxy i przechwytywać uwierzytelnienia.;Sprawdź GlobalQueryBlockList na DNS (dnscmd /info /globalqueryblocklist), ustawienia auto-detect proxy, obecność DHCPv6.;Ręcznie, skaner;;;"1. Wpis „wpad” w GlobalQueryBlockList (domyślnie jest – nie usuwaj).
2. Wyłącz automatyczne wykrywanie proxy, jeśli nieużywane.
3. Zablokuj przychodzące DHCPv6/RA z nieautoryzowanych źródeł (RA Guard/DHCPv6 Guard na przełącznikach lub reguły firewall hosta). Nie wyłączaj IPv6 całkowicie – Microsoft tego nie zaleca.";;T1557
AUTH-09;AD – Protokoły i uwierzytelnianie;Brak dostępu anonimowego do AD;Wysokie;Niski;"Grupa Pre-Windows 2000 Compatible Access nie zawiera Anonymous/Everyone; dsHeuristics nie włącza operacji anonimowych.";Anonimowe wyliczanie użytkowników i grup ułatwia rozpoznanie i spraying.;PingCastle: Pre-Windows 2000 / dsHeuristics anonymous.;PingCastle;A-PreWin2000Anonymous,A-PreWin2000Other,A-DsHeuristicsAnonymous;;"Usuń Anonymous Logon / Everyone z Pre-Windows 2000 Compatible Access (zostaw Authenticated Users tylko jeśli wymagane); wyczyść 7. znak dsHeuristics.";Stare aplikacje (NT4-era) mogą tego wymagać – test.;T1087.002
AUTH-10;AD – Protokoły i uwierzytelnianie;Usługa Print Spooler wyłączona na DC;Wysokie;Niski;Spooler zatrzymany i wyłączony na kontrolerach domeny.;Spooler na DC pozwala wymusić uwierzytelnienie DC (PrinterBug) → relay/delegacja → przejęcie domeny.;PingCastle: Spooler on DC. Get-Service -ComputerName <DC> Spooler;PingCastle, PowerShell;A-DC-Spooler;;GPO dla DC: Computer > Windows Settings > Security Settings > System Services > Print Spooler = Disabled.;Czyszczenie przestarzałych drukarek w AD (pruning) na DC przestanie działać – zwykle niepotrzebne.;T1187
AUTH-11;AD – Protokoły i uwierzytelnianie;Ograniczenie wymuszania uwierzytelnienia (coercion);Wysokie;Średni;Zablokowane lub ograniczone interfejsy wykorzystywane do wymuszania uwierzytelnienia (MS-EFSR/PetitPotam, MS-DFSNM, MS-FSRVP) na DC i serwerach T0.;Wymuszenie uwierzytelnienia DC w połączeniu z relay (np. do AD CS ESC8) daje przejęcie domeny.;Skaner (np. Coercer w trybie scan) przeciwko DC i serwerom T0 – tylko za zgodą.;Skaner, ręcznie;;;"1. Filtry RPC (netsh rpc filter) blokujące UUID MS-EFSR (c681d488-d850-11d0-8c52-00c04fd90f7e, df1941c5-fe89-4e79-bf10-463657acf44d) na DC.
2. Wyłącz WebClient na serwerach.
3. Najważniejsze: usuń cele relay – podpis SMB/LDAP (AUTH-03/05), EPA na AD CS (PKI-08).";;T1187
ACL-01;AD – Uprawnienia i ścieżki ataku;Ścieżki ataku do Tier 0 (BloodHound);Krytyczne;Wysoki;Zwykli użytkownicy i komputery nie mają ścieżek przejęcia do grup/systemów T0.;Pokazuje, ilu pracowników po przejęciu jednego konta może zostać administratorem domeny.;"BloodHound: Shortest paths to Domain Admins / to Tier Zero from Domain Users, Domain Computers, Authenticated Users; odsetek użytkowników ze ścieżką do DA.
PingCastle: Control paths (indirect Everyone/many).";BloodHound, PingCastle;P-ControlPathIndirectEveryone,P-ControlPathIndirectMany;;"1. Zidentyfikuj „wąskie gardła” (krawędzie występujące w wielu ścieżkach).
2. Usuń zbędne ACE (GenericAll, WriteDacl, WriteOwner, AddMember, ForceChangePassword) na obiektach T0 i ich kontenerach.
3. Usuń sesje adminów T0 z hostów niższych warstw (TIER-02).
4. Powtórz analizę po zmianach i mierz spadek liczby ścieżek.";"Zmiany ACL testuj na pojedynczych obiektach; dokumentuj stan sprzed zmiany.";T1484, T1098
ACL-02;AD – Uprawnienia i ścieżki ataku;Uprawnienia DCSync tylko dla DC i uzasadnionych kont;Krytyczne;Niski;Prawa DS-Replication-Get-Changes(-All) na obiekcie domeny mają tylko DC i konta synchronizacji (np. Entra Connect) traktowane jako T0.;Konto z DCSync może pobrać hashe wszystkich kont, w tym krbtgt.;BloodHound: DCSync rights. PowerShell/DSACLs na korzeniu domeny.;BloodHound, PowerShell;;;"Usuń nieuzasadnione ACE replikacji; konto Entra Connect (MSOL_/Sync_) traktuj i chroń jak T0 (serwer Entra Connect = T0).";;T1003.006
ACL-03;AD – Uprawnienia i ścieżki ataku;Kontrola edycji GPO linkowanych do DC i T0;Krytyczne;Średni;Tylko administratorzy T0 mogą edytować GPO dotyczące DC/serwerów T0 oraz linkować GPO do tych OU.;Edycja GPO na OU kontrolerów domeny = wykonanie kodu na DC.;"BloodHound: GenericWrite/WriteDacl na GPO; Get-GPPermission -Name <GPO> -All";BloodHound, PowerShell;;;"Uporządkuj uprawnienia GPO (Edit settings/Delete/Modify security) i gPLink na OU T0; oddzielne GPO dla T0.";;T1484.001
ACL-04;AD – Uprawnienia i ścieżki ataku;Właściciele obiektów T0 to administratorzy T0;Wysokie;Niski;Owner obiektów DC, grup T0 i kont admin to Domain Admins/Administrators.;Właściciel obiektu może zmienić jego uprawnienia.;PingCastle: DC owner. BloodHound: Owns.;PingCastle, BloodHound;P-DCOwner;;Zmień właściciela na Domain Admins (dsa.msc > Security > Advanced > Owner) lub przez Set-Acl.;;T1222.001
ACL-05;AD – Uprawnienia i ścieżki ataku;Uprawnienia Exchange w AD ograniczone;Krytyczne;Średni;Grupy Exchange (Exchange Windows Permissions, Exchange Trusted Subsystem) nie mają WriteDACL na obiekcie domeny.;Historyczne uprawnienia Exchange pozwalały na eskalację do DCSync (PrivExchange).;PingCastle: Exchange privilege escalation. BloodHound: WriteDacl na domenie od grup Exchange.;PingCastle, BloodHound;P-ExchangePrivEsc;;"Zastosuj aktualne CU Exchange i uruchom /PrepareAD; rozważ Split Permissions; usuń WriteDACL z obiektu domeny.";;T1098
